number,value,datetime_start,datetime_complete,duration,params_lr,params_model,params_optimizer,state
0,0.2551975205540657,2025-07-17 18:26:01.381155,2025-07-17 18:30:49.627050,0 days 00:04:48.245895,0.0020137038220424384,RescueUNet,Adam,COMPLETE
1,0.2563173621892929,2025-07-17 18:30:49.630657,2025-07-17 18:35:30.432183,0 days 00:04:40.801526,0.0011602600433836693,RescueUNet,RMSprop,COMPLETE
2,0.2512990817427635,2025-07-17 18:35:30.435184,2025-07-17 18:39:43.552556,0 days 00:04:13.117372,0.00478859585680771,PureUNet12,RMSprop,COMPLETE
3,0.2539126932621002,2025-07-17 18:39:43.554259,2025-07-17 18:43:58.189267,0 days 00:04:14.635008,1.001936054612339e-05,PureUNet12,RMSprop,COMPLETE
4,0.2539126932621002,2025-07-17 18:43:58.190500,2025-07-17 18:48:12.001000,0 days 00:04:13.810500,0.0009250689542571979,PureUNet12,Adam,COMPLETE
5,0.0,2025-07-17 18:48:12.005260,2025-07-17 18:48:26.770979,0 days 00:00:14.765719,0.0027379577881245258,LiteUNet,RMSprop,PRUNED
6,0.0,2025-07-17 18:48:26.771806,2025-07-17 18:48:40.342976,0 days 00:00:13.571170,0.008470356512317338,LiteUNet,RMSprop,PRUNED
7,0.2539126932621002,2025-07-17 18:48:40.344228,2025-07-17 18:53:17.266897,0 days 00:04:36.922669,4.8691116008668e-05,RescueUNet,Adam,COMPLETE
8,0.2539126932621002,2025-07-17 18:53:17.271088,2025-07-17 18:57:34.893690,0 days 00:04:17.622602,1.0638265042357823e-05,PureUNet12,Adam,COMPLETE
9,0.2539126932621002,2025-07-17 18:57:34.895592,2025-07-17 18:58:15.708482,0 days 00:00:40.812890,0.00038755647471841876,LiteUNet,Adam,COMPLETE
